flag	content	comment
$BASE_ATTACK	Base attack
$PS3_RIGHT_ANALOG_STICK	<RE>$PS4_RIGHT_ANALOG_STICK
$PS3_RIGHT_ANALOG_STICK_X_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_MINUS
$PS3_RIGHT_ANALOG_STICK_X_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_PLUS
$PS3_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_MINUS
$PS3_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_PLUS
$PS3_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$PS3_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$PS3_EMPTY	<RE>$PS4_EMPTY
$PSVITA_A	<RE>$PS4_A
$PSVITA_B	<RE>$PS4_B
$PSVITA_X	<RE>$PS4_X
$PSVITA_Y	<RE>$PS4_Y
$PSVITA_BACK	Select button
$PSVITA_START	<RE>$GAMEPAD_START
$PSVITA_LEFT_SHOULDER	L button
$PSVITA_RIGHT_SHOULDER	R button
$PSVITA_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$PSVITA_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$PSVITA_DPAD	<RE>$PS4_DPAD
$PSVITA_DPAD_UP	<RE>$PS4_DPAD_UP
$PSVITA_DPAD_DOWN	<RE>$PS4_DPAD_DOWN
$PSVITA_DPAD_LEFT	<RE>$PS4_DPAD_LEFT
$PSVITA_DPAD_RIGHT	<RE>$PS4_DPAD_RIGHT
$PSVITA_LEFT_ANALOG_STICK	<RE>$PS4_LEFT_ANALOG_STICK
$PSVITA_LEFT_ANALOG_STICK_X_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_X_MINUS
$PSVITA_LEFT_ANALOG_STICK_X_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_X_PLUS
$PSVITA_LEFT_ANALOG_STICK_Y_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_MINUS
$PSVITA_LEFT_ANALOG_STICK_Y_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_PLUS
$PSVITA_RIGHT_ANALOG_STICK	<RE>$PS4_RIGHT_ANALOG_STICK
$PSVITA_RIGHT_ANALOG_STICK_X_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_MINUS
$PSVITA_RIGHT_ANALOG_STICK_X_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_PLUS
$PSVITA_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_MINUS
$PSVITA_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_PLUS
$PSVITA_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$PSVITA_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$PSVITA_EMPTY	<RE>$PS4_EMPTY
$LOGITECH_A	2 (face) button
$LOGITECH_B	3 (face) button
$LOGITECH_X	1 (face) button
$LOGITECH_Y	4 (face) button
$LOGITECH_BACK	9 (back) button
$LOGITECH_START	10 (start) button
$LOGITECH_LEFT_SHOULDER	5 (left shoulder) button
$LOGITECH_RIGHT_SHOULDER	6 (right shoulder) button
$LOGITECH_LEFT_TRIGGER	7 (left analog) trigger
$LOGITECH_RIGHT_TRIGGER	8 (right analog) trigger
$LOGITECH_DPAD	<RE>$GAMEPAD_DPAD
$LOGITECH_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$LOGITECH_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$LOGITECH_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$LOGITECH_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$LOGITECH_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$LOGITECH_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$LOGITECH_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$LOGITECH_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$LOGITECH_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$LOGITECH_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$LOGITECH_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$LOGITECH_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$LOGITECH_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$LOGITECH_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$LOGITECH_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$LOGITECH_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$LOGITECH_EMPTY	<RE>$GAMEPAD_EMPTY
$WIIU_A	B button
$WIIU_B	A button
$WIIU_X	Y button
$WIIU_Y	X button
$WIIU_BACK	- (select) button
$WIIU_START	<PLUS> (start) button
$WIIU_LEFT_SHOULDER	L shoulder button
$WIIU_RIGHT_SHOULDER	R shoulder button
$WIIU_LEFT_TRIGGER	ZL analog trigger
$WIIU_RIGHT_TRIGGER	ZR analog trigger
$WIIU_DPAD	<RE>$GAMEPAD_DPAD
$WIIU_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$WIIU_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$WIIU_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$WIIU_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$WIIU_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$WIIU_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$WIIU_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$WIIU_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$WIIU_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$WIIU_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$WIIU_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$WIIU_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$WIIU_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$WIIU_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$WIIU_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$WIIU_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$WIIU_EMPTY	<RE>$GAMEPAD_EMPTY
$OUYA_A	O button
$OUYA_B	A button
$OUYA_X	U button
$OUYA_Y	Y button
$OUYA_BACK	<RE>$GAMEPAD_BACK
$OUYA_START	<RE>$GAMEPAD_START
$OUYA_LEFT_SHOULDER	<RE>$PS4_LEFT_SHOULDER
$OUYA_RIGHT_SHOULDER	<RE>$PS4_RIGHT_SHOULDER
$OUYA_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$OUYA_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$OUYA_DPAD	<RE>$GAMEPAD_DPAD
$OUYA_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$OUYA_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$OUYA_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$OUYA_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$OUYA_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$OUYA_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$OUYA_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$OUYA_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$OUYA_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$OUYA_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$OUYA_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$OUYA_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$OUYA_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$OUYA_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$OUYA_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$OUYA_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$OUYA_EMPTY	<RE>$GAMEPAD_EMPTY
$MISC_INPUT_0	Input:
$MISC_INPUT_1	Input 1:
$MISC_INPUT_2	Input 2:
$MISC_INPUT_3	Input 3:
$GAMEPAD_NOTE	Select to customize
$MISC_DEVICE_DISCONNECTED_TITLE	Device Disconnected!
$MISC_DEVICE_DISCONNECTED_TEXT	"<NAME>" in slot <SLOT> was disconnected!
$MISC_PLEASE_RECONNECT_CONTROLLER	Please reconnect controller
$MISC_EDIT	Edit
$SOFT_KEYBOARD_SPACE	Space
$SOFT_KEYBOARD_BACKSPACE	Backspace
$SOFT_KEYBOARD_CLEAR	Clear
$CONTROL_SWITCH_WARNING	You cannot switch fundamental input methods in the middle of a battle. Sorry about that!
$MISC_TITLE_SAFE_TEXT	Move sticks until all boxes are visible.
$MISC_UNIVERSAL	Universal
$MISC_LOAD_ORDER	Load Order
$MISC_SELECTED	Selected
$MISC_OVERWRITE	Confirm overwrite
$MISC_OVERWRITE_TEXT	Some subscribed mods conflict with local versions. Proceed with overwrites one by one?
$MISC_OVERWRITE2	Overwrite "<MODNAME>"?
$MISC_OVERWRITE_TEXT2	<SOURCE><N><N>--><N><N><DEST>
$PRESS_A	Press <A> to continue.
$MISC_REQUIRES_RESTART	(requires restart)
$MISC_PICTURE_SIZE	Picture size
$MISC_SIGNED_OUT	<USER> has signed out.
$MISC_SIGNED_IN	Signed in as <USER>.
$MISC_SWITCH_USER	Switch user
$MISC_RESTART_XBOX	Restart your Xbox?
$MISC_NO_SIGN_IN_WARNING	Your progress will not be saved unless you sign in.
$MISC_NEW_USER	New user
$MISC_CROSS_SAVE	Cross-Save
$CROSS_SAVE_RESULT_EQUAL	Slot <X>: Identical, skipped.
$CROSS_SAVE_RESULT_CONFIRM	Slot <X>: Conflicting data.
$CROSS_SAVE_RESULT_STOMP_DOWN	Slot <X>: Downloaded.
$CROSS_SAVE_RESULT_STOMP_UP	Slot <X>: Uploaded.
$CROSS_SAVE_RESULT_EMPTY	Slot <X>: Empty, skipped.
$CROSS_SAVE_RESULT_PLEASE_CONFIRM	Please review conflicts.
$CROSS_SAVE_RESULT_NO_CHANGES	No changes.
$CROSS_SAVE_RESULT_CHANGES	Success!
$MISC_NETWORK_ERROR	There was a problem connecting to the network.
